Wavelength (nm),Sum,Na I (4.5e-02),Na II (9.5e-01),Na III (3.4e-19)
231.83,7.711e-38,,,7.711e-38
231.88,1.553e-38,,,1.553e-38
231.93,2.849e-39,,,2.849e-39
231.98,4.758e-40,,,4.758e-40
232.03,7.235e-41,,,7.235e-41
232.08,1.002e-41,,,1.002e-41
232.13,1.263e-42,,,1.263e-42
232.18,1.450e-43,,,1.450e-43
232.23,1.516e-44,,,1.516e-44
232.28,1.443e-45,,,1.443e-45
232.33,1.251e-46,,,1.251e-46
232.38,9.870e-48,,,9.870e-48
237.28,1.521e-48,,,1.521e-48
237.33,1.759e-47,,,1.759e-47
237.38,1.864e-46,,,1.864e-46
237.43,1.810e-45,,,1.810e-45
237.48,1.609e-44,,,1.609e-44
237.53,1.310e-43,,,1.310e-43
237.58,9.776e-43,,,9.776e-43
237.63,6.681e-42,,,6.681e-42
237.68,4.182e-41,,,4.182e-41
237.73,2.397e-40,,,2.397e-40
237.78,1.259e-39,,,1.259e-39
237.83,6.057e-39,,,6.057e-39
237.88,2.669e-38,,,2.669e-38
237.93,1.077e-37,,,1.077e-37
237.98,3.982e-37,,,3.982e-37
238.03,1.349e-36,,,1.349e-36
238.08,4.183e-36,,,4.183e-36
238.13,1.189e-35,,,1.189e-35
238.18,3.094e-35,,,3.094e-35
238.23,7.375e-35,,,7.375e-35
238.28,1.610e-34,,,1.610e-34
238.33,3.221e-34,,,3.221e-34
238.38,5.902e-34,,,5.902e-34
238.43,9.905e-34,,,9.905e-34
238.48,1.523e-33,,,1.523e-33
238.53,2.144e-33,,,2.144e-33
238.58,2.765e-33,,,2.765e-33
238.63,3.267e-33,,,3.267e-33
238.68,3.536e-33,,,3.536e-33
238.73,3.506e-33,,,3.506e-33
238.78,3.186e-33,,,3.186e-33
238.83,2.657e-33,,,2.657e-33
238.88,2.042e-33,,,2.042e-33
238.93,1.467e-33,,,1.467e-33
238.98,1.030e-33,,,1.030e-33
239.03,7.838e-34,,,7.838e-34
239.08,7.484e-34,,,7.484e-34
