Wavelength (nm),Sum,Pb I (1.4e-01),Pb II (8.6e-01)
257.73,4.101e+8,4.101e+8,
257.78,3.949e+8,3.949e+8,
257.83,3.528e+8,3.528e+8,
257.88,2.923e+8,2.923e+8,
257.93,2.246e+8,2.246e+8,
257.98,1.600e+8,1.600e+8,
258.03,1.058e+8,1.058e+8,
258.08,6.485e+7,6.485e+7,
258.13,3.688e+7,3.688e+7,
258.18,1.945e+7,1.945e+7,
258.23,9.512e+6,9.512e+6,
258.28,4.315e+6,4.315e+6,
258.33,1.816e+6,1.816e+6,
258.38,7.086e+5,7.086e+5,
258.43,2.565e+5,2.565e+5,
258.48,8.611e+4,8.611e+4,
258.53,2.681e+4,2.681e+4,
258.58,7.743e+3,7.743e+3,
258.63,2.074e+3,2.074e+3,
258.68,5.152e+2,5.152e+2,
258.73,1.187e+2,1.187e+2,
258.78,2.537e+1,2.537e+1,
258.83,5.029e+0,5.029e+0,
258.88,9.245e-1,9.245e-1,
258.93,1.576e-1,1.576e-1,
258.98,2.493e-2,2.493e-2,
259.03,3.657e-3,3.657e-3,
259.08,4.974e-4,4.974e-4,
259.13,6.276e-5,6.276e-5,
259.18,7.345e-6,7.345e-6,
259.23,7.972e-7,7.972e-7,
259.28,8.026e-8,8.026e-8,
259.78,2.367e-8,2.367e-8,
259.83,5.945e-7,5.945e-7,
259.88,5.710e-6,5.710e-6,
259.93,5.103e-5,5.103e-5,
259.98,4.244e-4,4.244e-4,
260.03,3.285e-3,3.285e-3,
260.08,2.366e-2,2.366e-2,
260.13,1.585e-1,1.585e-1,
260.18,9.883e-1,9.883e-1,
260.23,5.733e+0,5.733e+0,
260.28,3.094e+1,3.094e+1,
260.33,1.554e+2,1.554e+2,
260.38,7.259e+2,7.259e+2,
260.43,3.155e+3,3.155e+3,
260.48,1.276e+4,1.276e+4,
260.53,4.797e+4,4.797e+4,
260.58,1.678e+5,1.678e+5,
260.63,5.461e+5,5.461e+5,
260.68,1.653e+6,1.653e+6,
260.73,4.653e+6,4.653e+6,
260.78,1.218e+7,1.218e+7,
260.83,2.967e+7,2.967e+7,
260.88,6.719e+7,6.719e+7,
260.93,1.415e+8,1.415e+8,
260.98,2.772e+8,2.772e+8,
261.03,5.048e+8,5.048e+8,
261.08,8.550e+8,8.550e+8,
261.13,1.347e+9,1.347e+9,
261.18,1.972e+9,1.972e+9,
261.23,2.685e+9,2.685e+9,
261.28,3.399e+9,3.399e+9,
261.33,4.002e+9,4.002e+9,
261.38,4.380e+9,4.380e+9,
261.43,4.457e+9,4.457e+9,
261.48,4.217e+9,4.217e+9,
261.53,3.709e+9,3.709e+9,
261.58,3.033e+9,3.033e+9,
261.63,2.306e+9,2.306e+9,
261.68,1.630e+9,1.630e+9,
261.73,1.071e+9,1.071e+9,
261.78,6.540e+8,6.540e+8,
261.83,3.713e+8,3.713e+8,
261.88,1.960e+8,1.960e+8,
261.93,9.618e+7,9.618e+7,
261.98,4.387e+7,4.387e+7,
262.03,1.861e+7,1.861e+7,
262.08,7.343e+6,7.343e+6,
262.13,2.716e+6,2.716e+6,
262.18,9.930e+5,9.930e+5,
262.23,4.824e+5,4.824e+5,
