Wavelength (nm),Sum,Cu I (2.9e-01),Cu II (7.1e-01)
227.62,1.097e+4,,1.097e+4
227.67,1.066e+4,,1.066e+4
227.72,9.405e+3,,9.405e+3
227.77,7.539e+3,,7.539e+3
227.82,5.489e+3,,5.489e+3
227.87,3.630e+3,,3.630e+3
227.92,2.182e+3,,2.182e+3
227.97,1.192e+3,,1.192e+3
228.02,5.924e+2,,5.924e+2
228.07,2.680e+2,,2.680e+2
228.12,1.106e+2,,1.106e+2
228.17,4.197e+1,,4.197e+1
228.22,1.539e+1,,1.539e+1
228.27,6.964e+0,,6.964e+0
228.32,6.259e+0,,6.259e+0
228.37,9.398e+0,,9.398e+0
228.42,1.511e+1,,1.511e+1
228.47,2.269e+1,,2.269e+1
228.52,3.111e+1,,3.111e+1
228.57,3.883e+1,,3.883e+1
228.62,4.417e+1,,4.417e+1
228.67,4.599e+1,,4.599e+1
228.72,4.441e+1,,4.441e+1
228.77,4.138e+1,,4.138e+1
228.82,4.148e+1,,4.148e+1
228.87,5.391e+1,,5.391e+1
228.92,9.730e+1,,9.730e+1
228.97,2.082e+2,,2.082e+2
229.02,4.520e+2,,4.520e+2
229.07,9.288e+2,,9.288e+2
229.12,1.764e+3,,1.764e+3
229.17,3.067e+3,,3.067e+3
229.22,4.867e+3,,4.867e+3
229.27,7.036e+3,,7.036e+3
229.32,9.259e+3,,9.259e+3
229.37,1.108e+4,,1.108e+4
229.42,1.207e+4,,1.207e+4
229.47,1.195e+4,,1.195e+4
229.52,1.077e+4,,1.077e+4
229.57,8.820e+3,,8.820e+3
229.62,6.571e+3,,6.571e+3
229.67,4.451e+3,,4.451e+3
229.72,2.742e+3,,2.742e+3
229.77,1.536e+3,,1.536e+3
229.82,7.827e+2,,7.827e+2
229.87,3.626e+2,,3.626e+2
229.92,1.528e+2,,1.528e+2
229.97,5.854e+1,,5.854e+1
230.02,2.040e+1,,2.040e+1
230.07,6.463e+0,,6.463e+0
230.12,1.862e+0,,1.862e+0
230.17,4.880e-1,,4.880e-1
230.22,1.163e-1,,1.163e-1
230.27,2.520e-2,,2.520e-2
230.32,4.966e-3,,4.966e-3
230.37,8.900e-4,,8.900e-4
230.42,1.450e-4,,1.450e-4
230.47,2.150e-5,,2.150e-5
230.52,2.897e-6,,2.897e-6
230.57,3.551e-7,,3.551e-7
230.62,3.958e-8,,3.958e-8
230.67,4.012e-9,,4.012e-9
230.72,3.698e-10,,3.698e-10
230.77,3.100e-11,,3.100e-11
230.82,2.363e-12,,2.363e-12
232.23,5.401e-15,,5.401e-15
232.28,6.587e-14,,6.587e-14
232.33,7.330e-13,,7.330e-13
232.38,7.443e-12,,7.443e-12
232.43,6.895e-11,,6.895e-11
232.48,5.829e-10,,5.829e-10
232.53,4.496e-9,,4.496e-9
232.58,3.165e-8,,3.165e-8
232.63,2.032e-7,,2.032e-7
232.68,1.191e-6,,1.191e-6
232.73,6.368e-6,,6.368e-6
232.78,3.107e-5,,3.107e-5
232.83,1.383e-4,,1.383e-4
232.88,5.619e-4,,5.619e-4
232.93,2.083e-3,,2.083e-3
232.98,7.043e-3,,7.043e-3
233.03,2.173e-2,,2.173e-2
233.08,6.120e-2,,6.120e-2
233.13,1.572e-1,,1.572e-1
233.18,3.686e-1,,3.686e-1
233.23,7.885e-1,,7.885e-1
233.28,1.539e+0,,1.539e+0
233.33,2.741e+0,,2.741e+0
233.38,4.454e+0,,4.454e+0
233.43,6.605e+0,,6.605e+0
233.48,8.937e+0,,8.937e+0
233.53,1.103e+1,,1.103e+1
233.58,1.243e+1,,1.243e+1
233.63,1.277e+1,,1.277e+1
233.68,1.198e+1,,1.198e+1
233.73,1.025e+1,,1.025e+1
233.78,8.006e+0,,8.006e+0
233.83,5.705e+0,,5.705e+0
233.88,3.709e+0,,3.709e+0
233.93,2.200e+0,,2.200e+0
