Wavelength (nm),Sum(calc),Cr I (1.8e-2),Cr II (1.8e-1),Fe I (7.5e-2),Fe II (4.1e-1),Fe III (5.6e-5),Ni I (6.1e-2),Ni II (1.9e-1),Ni III (6.3e-6),Cu I (4.4e-3),Cu II (1.1e-2),Mo I (4.3e-3)
205.32,4.661e+2,,2.048e+2,,1.473e+1,1.829e-6,2.017e+2,,,3.165e-20,4.477e+1,
205.35,9.792e+2,,7.353e+2,,2.106e+1,3.979e-6,1.090e+2,,,3.168e-20,1.139e+2,
205.37,1.877e+3,,1.568e+3,,3.669e+1,6.490e-6,7.921e+1,,,3.171e-20,1.932e+2,
205.39,3.542e+3,,3.100e+3,,6.358e+1,1.059e-5,7.495e+1,,,3.173e-20,3.039e+2,
205.42,8.240e+3,,7.476e+3,,1.288e+2,2.261e-5,1.146e+2,,,3.176e-20,5.206e+2,
205.44,1.327e+4,,1.223e+4,,1.881e+2,3.791e-5,1.697e+2,,,3.179e-20,6.782e+2,
205.47,2.365e+4,,2.221e+4,,2.880e+2,8.024e-5,2.850e+2,,,3.182e-20,8.750e+2,
205.49,3.172e+4,,3.006e+4,,3.480e+2,1.267e-4,3.706e+2,,,3.184e-20,9.435e+2,
205.52,4.288e+4,,4.109e+4,,4.012e+2,2.284e-4,4.782e+2,,,3.188e-20,9.166e+2,
205.54,4.776e+4,,4.603e+4,,4.012e+2,3.144e-4,5.157e+2,,,3.190e-20,8.179e+2,
205.57,4.880e+4,,4.735e+4,,3.480e+2,4.524e-4,5.013e+2,,,3.193e-20,5.982e+2,
205.59,4.508e+4,,4.390e+4,,2.880e+2,5.343e-4,4.474e+2,,,3.196e-20,4.417e+2,
205.62,3.476e+4,,3.400e+4,,1.881e+2,6.163e-4,3.274e+2,,,3.199e-20,2.432e+2,
205.64,2.660e+4,,2.608e+4,,1.288e+2,6.355e-4,2.418e+2,,,3.201e-20,1.486e+2,
205.67,1.546e+4,,1.521e+4,,6.330e+1,6.143e-4,1.332e+2,,,3.205e-20,6.157e+1,
205.69,9.802e+3,,9.653e+3,,3.586e+1,5.776e-4,8.156e+1,,,3.207e-20,3.113e+1,
205.72,4.294e+3,,4.236e+3,,1.327e+1,5.148e-4,3.452e+1,,,3.211e-20,9.708e+0,
205.74,2.255e+3,,2.226e+3,,6.220e+0,4.830e-4,1.913e+1,,,3.213e-20,4.061e+0,
205.76,1.101e+3,,1.084e+3,,2.703e+0,4.686e-4,1.311e+1,,,3.215e-20,1.575e+0,
205.79,3.402e+2,,3.197e+2,,6.720e-1,4.858e-4,1.945e+1,,,3.219e-20,3.300e-1,
